"","year","plot","diameter","height","species","status","height_m","diameter_cm"
"201",2023,40,5.6,39,"Ulmus americana",1,11.8872,14.224
"202",2023,40,NA,NA,"Ulmus americana",2,NA,NA
"203",2023,40,12.3,75,"Ulmus americana",1,22.86,31.242
"204",2023,46,6.9,62,"Ulmus americana",1,18.8976,17.526
"205",2023,46,7.1,52,"Ulmus americana",1,15.8496,18.034
"206",2023,46,2.3,31,"Ulmus americana",1,9.4488,5.842
"207",2023,46,3.4,25,"Ulmus americana",1,7.62,8.636
"208",2023,46,1.2,14,"Ulmus americana",1,4.2672,3.048
"209",2023,57,12.4,60,"Ulmus americana",1,18.288,31.496
"210",2023,57,6.8,46,"Ulmus americana",1,14.0208,17.272
"211",2023,18,1.4,16,"Ulmus americana",1,4.8768,3.556
"212",2023,18,15,84,"Ulmus americana",1,25.6032,38.1
"213",2023,18,7.1,39,"Ulmus americana",1,11.8872,18.034
"214",2023,27,6.1,43,"Ulmus americana",1,13.1064,15.494
"215",2023,27,7.8,64,"Ulmus americana",1,19.5072,19.812
"216",2023,27,9.4,61,"Ulmus americana",1,18.5928,23.876
"217",2023,27,7,50,"Ulmus americana",1,15.24,17.78
"218",2023,27,6.7,52,"Ulmus americana",1,15.8496,17.018
"219",2023,27,1.8,19,"Ulmus americana",1,5.7912,4.572
"220",2023,45,13.8,88,"Ulmus americana",1,26.8224,35.052
"221",2023,45,8.5,54,"Ulmus americana",1,16.4592,21.59
"222",2023,45,19.2,86,"Ulmus americana",1,26.2128,48.768
"223",2023,45,6.5,57,"Ulmus americana",1,17.3736,16.51
"224",2023,16,6.6,42,"Ulmus americana",1,12.8016,16.764
"225",2023,16,8.2,38,"Ulmus americana",1,11.5824,20.828
"226",2023,16,8,48,"Ulmus americana",1,14.6304,20.32
"227",2023,16,6.4,43,"Ulmus americana",1,13.1064,16.256
"228",2023,16,7.3,39,"Ulmus americana",1,11.8872,18.542
"229",2023,16,7.5,52,"Ulmus americana",1,15.8496,19.05
"230",2023,16,5.5,44,"Ulmus americana",1,13.4112,13.97
"231",2023,16,1.5,15,"Ulmus americana",1,4.572,3.81
"232",2023,62,7.4,43,"Ulmus americana",2,13.1064,18.796
"233",2023,62,5.7,42,"Ulmus americana",2,12.8016,14.478
"234",2023,62,NA,NA,"Ulmus americana",2,NA,NA
"235",2023,62,5.2,35,"Ulmus americana",1,10.668,13.208
"236",2023,106,NA,NA,"Ulmus americana",2,NA,NA
"237",2023,106,5.6,35,"Ulmus americana",2,10.668,14.224
"238",2023,106,8,38,"Ulmus americana",2,11.5824,20.32
"239",2023,106,8.8,48,"Ulmus americana",1,14.6304,22.352
"240",2023,106,8.1,68,"Ulmus americana",1,20.7264,20.574
"241",2023,106,NA,NA,"Ulmus americana",2,NA,NA
"242",2023,224,10.2,70,"Ulmus americana",1,21.336,25.908
"243",2023,224,10.3,48,"Ulmus americana",1,14.6304,26.162
"244",2023,224,8.5,57,"Ulmus americana",1,17.3736,21.59
"245",2023,224,5.6,26,"Ulmus americana",1,7.9248,14.224
"246",2023,224,1.3,13,"Ulmus americana",1,3.9624,3.302
"247",2023,224,6.9,52,"Ulmus americana",1,15.8496,17.526
"248",2023,3,NA,NA,"Ulmus americana",2,NA,NA
"249",2023,3,5.2,49,"Quercus texana",1,14.9352,13.208
"250",2023,3,4.4,43,"Quercus texana",1,13.1064,11.176
"251",2023,3,5,43,"Quercus texana",1,13.1064,12.7
"252",2023,3,7.9,53,"Ulmus americana",1,16.1544,20.066
"253",2023,3,5.5,43,"Ulmus americana",1,13.1064,13.97
"254",2023,3,7.1,46,"Ulmus americana",1,14.0208,18.034
"255",2023,3,NA,NA,"Ulmus americana",2,NA,NA
"256",2023,4,NA,NA,"Ilex opaca",2,NA,NA
"257",2023,4,1,13,"Ilex opaca",1,3.9624,2.54
"258",2023,44,2.4,31,"Ilex opaca",1,9.4488,6.096
