"county_code","year","number_trees","trees_alive","species_richness","diameter","height","region"
9,2018,207,167,23,7.91529126213592,48.6650485436893,"South Delta"
9,2019,212,160,20,8.14518918918919,49.4432432432432,"South Delta"
9,2020,337,199,23,7.85622119815668,58.7926267281106,"South Delta"
9,2021,125,110,19,10.5362068965517,54.7068965517241,"South Delta"
9,2022,207,125,19,6.96935483870968,46.5725806451613,"South Delta"
9,2023,183,161,23,7.37590361445783,46.9518072289157,"South Delta"
9,2024,170,140,26,8.82380952380952,56.5850340136054,"South Delta"
9,2025,287,178,24,9.01734693877551,54.1377551020408,"South Delta"
11,1974,2645,2400,37,9.17981096408318,NA,"Southwest"
11,1984,1704,1205,42,9.16819248826291,62.7285873192436,"Southwest"
11,1991,2548,2110,51,9.59270015698587,68.019647696477,"Southwest"
11,2001,611,520,26,8.45852700490998,55.8434925864909,"Southwest"
11,2002,683,585,26,6.91005856515373,47.606149341142,"Southwest"
11,2003,650,529,32,8.94466153846154,51.4246153846154,"Southwest"
11,2004,585,510,30,8.36517948717949,51.0615384615385,"Southwest"
11,2005,628,499,32,8.50156050955414,51.6464968152866,"Southwest"
11,2009,517,421,30,5.55907156673114,40.156976744186,"Southwest"
11,2010,507,361,22,6.73313609467456,44.7731755424063,"Southwest"
11,2011,569,377,26,7.35311072056239,49.6801405975395,"Southwest"
11,2012,565,447,24,6.63824778761062,43.4159292035398,"Southwest"
11,2013,946,726,28,6.95640591966173,47.1333333333333,"Southwest"
11,2014,609,414,25,6.91945364238411,45.7450331125828,"Southwest"
11,2015,562,318,21,7.19029535864979,48.7489451476793,"Southwest"
11,2016,463,305,24,5.97964376590331,41.470737913486,"Southwest"
11,2017,561,414,22,7.21865591397849,49.7114695340502,"Southwest"
11,2018,725,545,25,6.30060773480663,46.8991712707182,"Southwest"
11,2019,819,501,34,7.01788766788767,47.015873015873,"Southwest"
11,2020,1013,492,29,7.50853889943074,52.0094876660342,"Southwest"
11,2021,600,395,27,7.32988505747126,49.2390804597701,"Southwest"
11,2022,659,434,22,6.57527114967462,45.4837310195228,"Southwest"
11,2023,527,291,20,6.93853503184713,47.0095541401274,"Southwest"
11,2024,460,247,27,6.44451827242525,45.2325581395349,"Southwest"
11,2025,670,304,26,7.22106824925816,49.2462908011869,"Southwest"
13,1974,2959,2450,39,8.28418384589388,NA,"Northwest"
13,1984,1958,1426,45,7.57425944841675,67.7671755725191,"Northwest"
13,1991,2894,2379,52,8.15480304077401,67.1257102272727,"Northwest"
13,2001,939,828,43,7.43661341853035,46.3678038379531,"Northwest"
13,2002,657,531,29,8.62502283105023,57.0551301684533,"Northwest"
13,2003,635,527,29,6.46385826771654,43.8456692913386,"Northwest"
13,2004,683,539,36,7.82710102489019,51.6778916544656,"Northwest"
13,2005,651,476,36,7.76222734254992,51.7469135802469,"Northwest"
13,2008,105,105,10,7.34761904761905,46.4666666666667,"Northwest"
13,2009,454,244,23,7.35171806167401,48.6387665198238,"Northwest"
13,2010,289,224,20,8.41622837370242,52.2941176470588,"Northwest"
13,2011,759,610,35,7.22736495388669,48.0026385224274,"Northwest"
13,2012,545,371,26,7.70948623853211,51.2081031307551,"Northwest"
13,2013,503,356,23,6.72286282306163,45.1353535353535,"Northwest"
13,2014,554,319,32,7.26603883495146,49.2796116504854,"Northwest"
13,2015,643,356,31,7.84510140405616,51.9672386895476,"Northwest"
13,2016,312,217,27,8.60117021276596,57.3581560283688,"Northwest"
13,2017,564,425,35,7.70695035460993,51.5478723404255,"Northwest"
13,2018,477,251,18,7.22616842105263,47.9094736842105,"Northwest"
13,2019,531,281,26,8.11796226415094,52.9754716981132,"Northwest"
13,2020,703,426,26,6.64806378132118,46.255125284738,"Northwest"
13,2021,619,528,33,7.61873840445269,52.1539888682746,"Northwest"
13,2022,515,307,29,7.28207547169811,48.0660377358491,"Northwest"
13,2023,442,325,40,8.81065088757397,57.5502958579882,"Northwest"
13,2024,364,235,27,7.65731707317073,47.780487804878,"Northwest"
13,2025,435,304,18,7.83216560509554,49.2866242038217,"Northwest"
15,1974,2410,2105,39,9.15348547717842,NA,"Northwest"
15,1984,1493,1179,49,9.53114534494307,67.2559241706161,"Northwest"
15,1991,2301,1874,54,10.51938287701,73.0929003021148,"Northwest"
15,2001,319,171,33,12.3240752351097,63.2594936708861,"Northwest"
15,2002,296,190,30,9.425,58.2508710801394,"Northwest"
15,2003,483,404,28,8.76973084886128,50.6293995859213,"Northwest"
15,2004,478,381,26,8.29548117154812,45.9351464435146,"Northwest"
15,2005,460,383,29,8.13045652173913,49.2978260869565,"Northwest"
15,2008,22,21,10,13.1772727272727,80.3181818181818,"Northwest"
15,2009,370,324,26,7.41527027027027,46.2324324324324,"Northwest"
15,2010,264,232,25,6.93537878787879,39.5265151515151,"Northwest"
15,2011,362,257,23,7.95546961325967,45.7093023255814,"Northwest"
15,2012,436,362,25,7.54259174311927,48.3646788990826,"Northwest"
15,2013,362,211,26,7.87267955801105,50.3674033149171,"Northwest"
15,2014,390,342,25,6.94184615384615,47.4717948717949,"Northwest"
15,2015,533,434,28,7.47491557223265,51.6491557223265,"Northwest"
15,2016,390,264,29,6.86623052959502,50.386292834891,"Northwest"
15,2017,384,288,21,7.92630555555556,47.7138888888889,"Northwest"
15,2018,489,374,23,7.77546201232033,49.0944558521561,"Northwest"
15,2019,447,267,30,8.3688219895288,52.5314136125654,"Northwest"
15,2020,376,320,26,8.86524390243902,56.0457317073171,"Northwest"
15,2021,441,297,28,8.09161290322581,57.0709677419355,"Northwest"
15,2022,465,344,29,8.68093922651934,63.6878453038674,"Northwest"
15,2023,397,249,22,8.71072796934866,53.27969348659,"Northwest"
15,2024,343,289,23,7.60535117056856,49.7692307692308,"Northwest"
15,2025,425,388,25,8.50496277915633,58.014888337469,"Northwest"
17,1974,1993,1721,40,8.76317109884596,NA,"Northwest"
17,1984,1216,866,41,8.7327302631579,65.4473684210526,"Northwest"
17,1991,1873,1545,53,9.67362520021356,68.5964391691395,"Northwest"
17,2001,315,203,33,8.74015873015873,50.2222222222222,"Northwest"
17,2002,292,215,28,8.58017123287671,48.1061643835616,"Northwest"
17,2003,212,169,26,7.73872641509434,45.5588235294118,"Northwest"
17,2004,326,252,23,9.29073619631902,50.2414860681115,"Northwest"
17,2005,360,301,27,6.13127777777778,35.6555555555556,"Northwest"
17,2008,75,74,18,7.12,39.5733333333333,"Northwest"
17,2009,230,193,23,7.11367713004484,44.5471698113208,"Northwest"
17,2010,293,226,25,6.29481228668942,38.4778156996587,"Northwest"
17,2011,315,290,29,7.01034920634921,44.3047619047619,"Northwest"
