"year","plot","diameter","height","species","status"
2023,140,8.2,42,"Ilex opaca",1
2023,140,7.7,39,"Ilex opaca",1
2023,140,4,33,"Ilex opaca",1
2023,140,5.4,42,"Ilex opaca",1
2023,140,2.8,30,"Ilex opaca",1
2023,8,1.7,22,"Ilex opaca",1
2023,8,1.4,18,"Ilex opaca",1
2023,8,2.2,22,"Ilex opaca",1
2023,8,2.4,23,"Ilex opaca",1
2023,8,1.8,14,"Ilex opaca",1
2023,8,1.4,12,"Ilex opaca",1
2023,8,1.3,18,"Ilex opaca",1
2023,73,NA,NA,"Ulmus americana",0
2023,73,NA,NA,"Ulmus americana",0
2023,73,NA,NA,"Ulmus americana",0
2023,73,NA,NA,"Ulmus americana",0
2023,73,NA,NA,"Ulmus americana",0
2023,73,NA,NA,"Quercus texana",0
2023,73,NA,NA,"Ulmus americana",0
2023,73,NA,NA,"Ulmus americana",0
2023,73,NA,NA,"Ulmus americana",0
2023,40,5.4,42,"Ulmus americana",1
2023,1,6.4,64,"Ulmus americana",1
2023,6,7.4,38,"Ilex opaca",1
2023,6,1.3,24,"Ilex opaca",1
2023,6,1.5,25,"Ilex opaca",1
2023,49,7.9,43,"Ilex opaca",1
2023,49,1.1,15,"Ilex opaca",1
2023,49,7.4,53,"Ilex opaca",1
2023,79,6.7,52,"Ulmus americana",1
2023,1,NA,NA,"Ulmus americana",2
2023,9,9.7,56,"Ulmus americana",1
2023,9,3.3,42,"Ulmus americana",1
2023,9,12.1,66,"Ulmus americana",1
2023,30,3.4,29,"Ilex opaca",1
2023,58,5.3,30,"Ilex opaca",1
2023,58,5.3,33,"Ilex opaca",1
2023,58,1,16,"Ilex opaca",1
2023,70,1.8,16,"Ilex opaca",1
2023,6,6.6,40,"Ilex opaca",1
2023,7,1,16,"Ulmus americana",1
2023,7,1.9,23,"Ulmus americana",1
2023,16,4.7,39,"Ilex opaca",1
2023,16,2.7,26,"Ilex opaca",1
2023,16,3.7,26,"Ilex opaca",1
2023,16,9.2,53,"Ilex opaca",1
2023,40,5.2,44,"Ilex opaca",1
2023,57,6.3,40,"Ilex opaca",1
2023,57,6,44,"Ilex opaca",1
2023,57,7.1,52,"Ilex opaca",1
2023,57,6,43,"Ilex opaca",1
2023,57,5.9,46,"Ilex opaca",1
2023,57,1.6,15,"Ilex opaca",1
2023,57,5.2,39,"Ilex opaca",1
2023,57,6.7,35,"Ilex opaca",1
2023,57,6.8,30,"Ilex opaca",1
2023,57,5.5,38,"Ilex opaca",1
2023,7,3.9,28,"Ilex opaca",1
2023,7,1.1,15,"Ilex opaca",1
2023,29,8,54,"Ulmus americana",1
2023,59,8.7,52,"Ulmus americana",1
2023,53,NA,NA,"Ulmus americana",2
2023,9,7,38,"Ulmus americana",1
2023,19,5.3,45,"Ilex opaca",1
2023,19,5.8,33,"Ilex opaca",1
2023,19,1.7,14,"Ilex opaca",1
2023,35,1,14,"Ilex opaca",1
2023,43,2.6,20,"Ilex opaca",1
2023,16,10.4,70,"Ulmus americana",2
2023,16,10.7,55,"Ulmus americana",1
2023,18,28,100,"Ulmus americana",1
2023,18,17,95,"Ulmus americana",1
2023,44,1.9,21,"Ilex opaca",1
2023,44,1.5,20,"Ilex opaca",1
2023,44,2.2,22,"Ilex opaca",1
2023,44,1.9,22,"Ilex opaca",1
2023,44,2.1,22,"Ilex opaca",1
2023,44,2.5,22,"Ilex opaca",1
2023,44,2.3,22,"Ilex opaca",1
2023,44,1.5,20,"Ilex opaca",1
2023,44,1.9,19,"Ilex opaca",1
2023,44,1.6,19,"Ilex opaca",1
2023,44,1.7,19,"Ilex opaca",1
2023,44,1.7,21,"Ilex opaca",1
2023,25,16.1,66,"Ilex opaca",1
2023,25,6.2,49,"Ilex opaca",1
2023,25,10.9,65,"Ilex opaca",1
2023,25,5.4,38,"Ilex opaca",1
2023,25,5,36,"Ilex opaca",1
2023,28,1.4,16,"Ilex opaca",1
2023,38,1.9,16,"Ilex opaca",1
2023,38,1.9,14,"Ilex opaca",1
2023,39,5,40,"Ulmus americana",1
2023,39,16,72,"Ulmus americana",1
2023,19,7.7,72,"Ilex opaca",1
2023,19,5.8,48,"Ilex opaca",1
2023,19,7.8,45,"Ilex opaca",1
2023,19,5,37,"Ilex opaca",1
2023,19,5.3,36,"Ilex opaca",1
2023,19,12.8,87,"Quercus texana",1
2023,19,11.8,76,"Quercus texana",1
2023,19,13.6,79,"Quercus texana",1
2023,19,14.4,68,"Quercus texana",1
2023,19,16.3,92,"Quercus texana",1
2023,19,10.8,70,"Quercus texana",2
2023,3,2.6,19,"Ilex opaca",1
2023,18,NA,NA,"Ulmus americana",2
2023,31,2.4,23,"Ulmus americana",1
2023,31,2,19,"Ilex opaca",1
2023,31,1.9,16,"Ilex opaca",1
2023,31,1.6,27,"Ulmus americana",1
2023,31,1.3,16,"Ilex opaca",1
2023,31,5.2,32,"Ilex opaca",1
2023,44,6.9,40,"Ilex opaca",1
2023,52,5.8,47,"Ilex opaca",1
2023,52,5.8,44,"Ilex opaca",1
2023,52,1.5,16,"Ilex opaca",1
2023,52,1.2,15,"Ilex opaca",1
2023,52,1,13,"Ilex opaca",1
2023,52,7.2,49,"Ilex opaca",1
2023,52,5.5,30,"Ilex opaca",1
2023,25,1.9,21,"Ilex opaca",1
2023,25,1.1,12,"Ilex opaca",1
2023,25,5,47,"Ilex opaca",1
2023,26,6.4,44,"Ilex opaca",1
2023,1,5,32,"Ilex opaca",1
2023,2,1.7,20,"Ilex opaca",1
2023,2,1.5,16,"Ilex opaca",1
2023,2,1.6,16,"Ilex opaca",1
2023,2,1,14,"Ilex opaca",1
2023,17,NA,NA,"Ilex opaca",0
2023,18,7.6,50,"Ilex opaca",1
2023,52,5.2,37,"Ilex opaca",1
2023,52,6.1,45,"Ilex opaca",1
2023,52,5.3,41,"Ilex opaca",1
2023,52,6.4,38,"Ilex opaca",1
2023,59,NA,NA,"Ilex opaca",2
2023,59,1.2,12,"Ilex opaca",1
2023,59,1.6,19,"Ilex opaca",1
2023,61,9,73,"Ulmus americana",1
2023,159,2.5,24,"Ilex opaca",1
2023,159,2.2,20,"Ilex opaca",1
2023,159,1.4,22,"Ilex opaca",1
2023,159,6.4,37,"Ilex opaca",1
2024,33,NA,NA,"Quercus texana",0
2024,33,NA,NA,"Quercus texana",0
2024,33,NA,NA,"Quercus texana",0
2024,39,6.2,45,"Quercus texana",1
2024,39,5.9,42,"Quercus texana",1
2024,39,7.9,50,"Quercus texana",1
2024,39,8.8,47,"Quercus texana",1
2024,39,9,48,"Quercus texana",1
2024,39,5.1,50,"Quercus texana",1
2024,39,8.9,52,"Quercus texana",1
2024,39,6.9,45,"Quercus texana",1
2024,39,2.2,28,"Ulmus americana",1
2024,39,7.3,49,"Quercus texana",1
2024,39,9.1,56,"Quercus texana",1
2024,39,7.3,47,"Quercus texana",1
2024,39,5.6,42,"Ulmus americana",1
2024,39,5.8,45,"Quercus texana",1
2024,45,NA,NA,"Ulmus americana",0
2024,45,5.2,34,"Ulmus americana",1
2024,7,14.2,80,"Ulmus americana",1
2024,52,NA,NA,"Ulmus americana",0
2024,52,NA,NA,"Ulmus americana",0
2024,52,NA,NA,"Ulmus americana",0
2024,52,NA,NA,"Ulmus americana",0
2024,52,NA,NA,"Ulmus americana",0
2024,52,13.8,60,"Ulmus americana",1
2024,13,8,47,"Ulmus americana",1
2024,13,12.4,63,"Quercus texana",1
2024,13,NA,NA,"Quercus texana",2
2024,13,10.6,56,"Quercus texana",1
2024,13,5.3,41,"Ulmus americana",1
2024,13,5.1,39,"Quercus texana",1
2024,25,NA,NA,"Quercus texana",2
2024,25,11.4,64,"Ulmus americana",1
2024,25,5.9,58,"Ulmus americana",1
2024,10,NA,NA,"Ulmus americana",2
2024,13,9.7,56,"Quercus texana",1
2024,13,18.6,116,"Quercus texana",1
2024,13,9.9,65,"Ulmus americana",1
2024,20,15.9,80,"Ulmus americana",1
2024,20,6.5,46,"Ulmus americana",1
2024,20,6.7,49,"Ulmus americana",1
2024,20,24.9,94,"Quercus texana",1
2024,20,7.9,51,"Ulmus americana",1
2024,20,12,74,"Ulmus americana",1
2024,16,8,49,"Quercus texana",1
2024,16,11.5,68,"Quercus texana",1
2024,16,10.9,69,"Quercus texana",1
2024,16,9.2,63,"Quercus texana",1
2024,16,8.8,65,"Quercus texana",1
2024,49,31.4,115,"Ulmus americana",1
2024,50,1,13,"Quercus texana",1
2024,8,11.2,47,"Ulmus americana",1
2024,8,7.6,46,"Ulmus americana",1
2024,8,17.4,88,"Ulmus americana",1
2024,18,NA,NA,"Ulmus americana",2
2024,37,5.5,41,"Ulmus americana",1
2024,11,8.6,51,"Quercus texana",1
2024,11,8.7,45,"Quercus texana",1
2024,11,1.7,29,"Ulmus americana",1
2024,11,12.2,65,"Quercus texana",1
2024,11,10.8,64,"Quercus texana",1
2024,11,10.1,63,"Quercus texana",1
2024,21,NA,NA,"Ulmus americana",0
2024,21,NA,NA,"Ulmus americana",0
2024,21,8.6,44,"Ulmus americana",1
2024,21,5.5,35,"Ulmus americana",1
2024,21,2.9,29,"Ulmus americana",1
2024,5,4.8,31,"Ulmus americana",1
2024,5,3.7,31,"Ulmus americana",1
2024,5,4.7,40,"Ulmus americana",1
2024,5,5.9,40,"Ulmus americana",1
2024,16,NA,NA,"Quercus texana",0
2024,16,NA,NA,"Ulmus americana",0
2024,16,NA,NA,"Ulmus americana",0
2024,44,NA,NA,"Quercus texana",2
2024,44,6.3,42,"Quercus texana",2
2024,46,5.8,44,"Quercus texana",1
2024,46,5.2,49,"Quercus texana",1
2024,46,8.8,55,"Quercus texana",1
2024,46,5.4,37,"Quercus texana",2
2024,50,17.7,83,"Quercus texana",1
2024,50,17.3,91,"Quercus texana",1
2024,50,15.8,103,"Quercus texana",1
2024,50,10.3,72,"Quercus texana",1
2024,50,8,70,"Quercus texana",1
2024,50,5.3,37,"Quercus texana",1
2024,10,41.5,110,"Ulmus americana",2
2024,17,15.6,84,"Quercus texana",1
2024,17,3.4,37,"Ulmus americana",1
2024,17,2,23,"Ulmus americana",1
2024,17,1.8,20,"Ulmus americana",1
2024,17,1.7,23,"Ulmus americana",1
2024,17,2.4,36,"Ulmus americana",1
2024,17,5.1,39,"Ulmus americana",1
2024,17,5,36,"Ulmus americana",1
2024,17,5,43,"Ulmus americana",1
2024,18,5.8,53,"Ulmus americana",1
