"year","plot","diameter","height","species","status"
2023,73,28.448,20.7264,"Quercus texana",1
2023,73,43.434,24.384,"Quercus texana",1
2023,73,44.704,22.86,"Quercus texana",1
2023,5,24.13,20.7264,"Ulmus americana",2
2023,5,51.054,24.384,"Quercus texana",1
2023,5,23.622,17.3736,"Ulmus americana",1
2023,5,16.764,15.8496,"Ulmus americana",1
2023,5,6.35,11.8872,"Ulmus americana",1
2023,14,NA,NA,"Ulmus americana",2
2023,14,25.146,12.8016,"Quercus texana",1
2023,14,NA,NA,"Quercus texana",2
2023,14,NA,NA,"Quercus texana",2
2023,35,55.118,26.8224,"Ulmus americana",1
2023,140,8.128,9.7536,"Ilex opaca",1
2023,140,9.398,9.4488,"Ilex opaca",1
2023,140,20.828,12.8016,"Ilex opaca",1
2023,140,19.558,11.8872,"Ilex opaca",1
2023,140,10.16,10.0584,"Ilex opaca",1
2023,140,13.716,12.8016,"Ilex opaca",1
2023,140,7.112,9.144,"Ilex opaca",1
2023,8,4.318,6.7056,"Ilex opaca",1
2023,8,3.556,5.4864,"Ilex opaca",1
2023,8,5.588,6.7056,"Ilex opaca",1
2023,8,6.096,7.0104,"Ilex opaca",1
2023,8,4.572,4.2672,"Ilex opaca",1
2023,8,3.556,3.6576,"Ilex opaca",1
2023,8,3.302,5.4864,"Ilex opaca",1
2023,73,NA,NA,"Ulmus americana",0
2023,73,NA,NA,"Ulmus americana",0
2023,73,NA,NA,"Ulmus americana",0
2023,73,NA,NA,"Ulmus americana",0
2023,73,NA,NA,"Ulmus americana",0
2023,73,NA,NA,"Quercus texana",0
2023,73,NA,NA,"Ulmus americana",0
2023,73,NA,NA,"Ulmus americana",0
2023,73,NA,NA,"Ulmus americana",0
2023,40,13.716,12.8016,"Ulmus americana",1
2023,1,16.256,19.5072,"Ulmus americana",1
2023,6,18.796,11.5824,"Ilex opaca",1
2023,6,3.302,7.3152,"Ilex opaca",1
2023,6,3.81,7.62,"Ilex opaca",1
2023,49,20.066,13.1064,"Ilex opaca",1
2023,49,2.794,4.572,"Ilex opaca",1
2023,49,18.796,16.1544,"Ilex opaca",1
2023,79,17.018,15.8496,"Ulmus americana",1
2023,1,NA,NA,"Ulmus americana",2
2023,9,24.638,17.0688,"Ulmus americana",1
2023,9,8.382,12.8016,"Ulmus americana",1
2023,9,30.734,20.1168,"Ulmus americana",1
2023,30,8.636,8.8392,"Ilex opaca",1
2023,58,13.462,9.144,"Ilex opaca",1
2023,58,13.462,10.0584,"Ilex opaca",1
2023,58,2.54,4.8768,"Ilex opaca",1
2023,70,4.572,4.8768,"Ilex opaca",1
2023,6,16.764,12.192,"Ilex opaca",1
2023,7,2.54,4.8768,"Ulmus americana",1
2023,7,4.826,7.0104,"Ulmus americana",1
2023,16,11.938,11.8872,"Ilex opaca",1
2023,16,6.858,7.9248,"Ilex opaca",1
2023,16,9.398,7.9248,"Ilex opaca",1
2023,16,23.368,16.1544,"Ilex opaca",1
2023,40,13.208,13.4112,"Ilex opaca",1
2023,57,16.002,12.192,"Ilex opaca",1
2023,57,15.24,13.4112,"Ilex opaca",1
2023,57,18.034,15.8496,"Ilex opaca",1
2023,57,15.24,13.1064,"Ilex opaca",1
2023,57,14.986,14.0208,"Ilex opaca",1
2023,57,4.064,4.572,"Ilex opaca",1
2023,57,13.208,11.8872,"Ilex opaca",1
2023,57,17.018,10.668,"Ilex opaca",1
2023,57,17.272,9.144,"Ilex opaca",1
2023,57,13.97,11.5824,"Ilex opaca",1
2023,7,9.906,8.5344,"Ilex opaca",1
2023,7,2.794,4.572,"Ilex opaca",1
2023,29,20.32,16.4592,"Ulmus americana",1
2023,59,22.098,15.8496,"Ulmus americana",1
2023,53,NA,NA,"Ulmus americana",2
2023,9,17.78,11.5824,"Ulmus americana",1
2023,19,13.462,13.716,"Ilex opaca",1
2023,19,14.732,10.0584,"Ilex opaca",1
2023,19,4.318,4.2672,"Ilex opaca",1
2023,35,2.54,4.2672,"Ilex opaca",1
2023,43,6.604,6.096,"Ilex opaca",1
2023,16,26.416,21.336,"Ulmus americana",2
2023,16,27.178,16.764,"Ulmus americana",1
2023,18,71.12,30.48,"Ulmus americana",1
2023,18,43.18,28.956,"Ulmus americana",1
2023,44,4.826,6.4008,"Ilex opaca",1
2023,44,3.81,6.096,"Ilex opaca",1
2023,44,5.588,6.7056,"Ilex opaca",1
2023,44,4.826,6.7056,"Ilex opaca",1
2023,44,5.334,6.7056,"Ilex opaca",1
2023,44,6.35,6.7056,"Ilex opaca",1
2023,44,5.842,6.7056,"Ilex opaca",1
2023,44,3.81,6.096,"Ilex opaca",1
2023,44,4.826,5.7912,"Ilex opaca",1
2023,44,4.064,5.7912,"Ilex opaca",1
2023,44,4.318,5.7912,"Ilex opaca",1
